2026-05-09 07:23:38 | INFO | controller | args: Namespace(host='0.0.0.0', port=10000, dispatch_method='shortest_queue')
2026-05-09 07:23:38 | INFO | controller | Init controller
2026-05-09 07:23:38 | ERROR | stderr | [32mINFO[0m:     Started server process [[36m1610019[0m]
2026-05-09 07:23:38 | ERROR | stderr | [32mINFO[0m:     Waiting for application startup.
2026-05-09 07:23:38 | ERROR | stderr | [32mINFO[0m:     Application startup complete.
2026-05-09 07:23:38 | ERROR | stderr | [32mINFO[0m:     Uvicorn running on [1mhttp://0.0.0.0:10000[0m (Press CTRL+C to quit)
2026-05-09 07:30:02 | INFO | controller | args: Namespace(host='0.0.0.0', port=10000, dispatch_method='shortest_queue')
2026-05-09 07:30:02 | INFO | controller | Init controller
2026-05-09 07:30:02 | ERROR | stderr | INFO:     Started server process [1611991]
2026-05-09 07:30:02 | ERROR | stderr | INFO:     Waiting for application startup.
2026-05-09 07:30:02 | ERROR | stderr | INFO:     Application startup complete.
2026-05-09 07:30:02 | ERROR | stderr | ERROR:    [Errno 98] error while attempting to bind on address ('0.0.0.0', 10000): address already in use
2026-05-09 07:30:02 | ERROR | stderr | INFO:     Waiting for application shutdown.
2026-05-09 07:30:02 | ERROR | stderr | INFO:     Application shutdown complete.
2026-05-09 07:31:39 | ERROR | stderr | [32mINFO[0m:     Shutting down
2026-05-09 07:31:39 | ERROR | stderr | [32mINFO[0m:     Waiting for application shutdown.
2026-05-09 07:31:39 | ERROR | stderr | [32mINFO[0m:     Application shutdown complete.
2026-05-09 07:31:39 | ERROR | stderr | [32mINFO[0m:     Finished server process [[36m1610019[0m]
2026-05-09 07:31:47 | INFO | controller | args: Namespace(host='0.0.0.0', port=10000, dispatch_method='shortest_queue')
2026-05-09 07:31:47 | INFO | controller | Init controller
2026-05-09 07:31:47 | ERROR | stderr | INFO:     Started server process [1613013]
2026-05-09 07:31:47 | ERROR | stderr | INFO:     Waiting for application startup.
2026-05-09 07:31:47 | ERROR | stderr | INFO:     Application startup complete.
2026-05-09 07:31:47 | ERROR | stderr | INFO:     Uvicorn running on http://0.0.0.0:10000 (Press CTRL+C to quit)
2026-05-09 07:34:33 | INFO | stdout | INFO:     127.0.0.1:44294 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-05-09 07:34:33 | INFO | stdout | INFO:     127.0.0.1:44308 - "POST /list_models HTTP/1.1" 200 OK
